Tabla,Campo,TipoDatoSQL,ModoAcceso,DescripcionFuncional
man_spiele,id,int(11),Lectura/Escritura,Identificador único del partido simulado
man_spiele,liga,varchar(32),Lectura,Identificador de la liga a la que pertenece el partido
man_spiele,datum,int(11),Lectura,Timestamp de la fecha programada para el encuentro
man_spiele,team1,varchar(255),Lectura,Nombre del equipo local
man_spiele,team2,varchar(255),Lectura,Nombre del equipo visitante
man_spiele,typ,enum('Liga'|'Pokal'|'Test'|'Cup'),Lectura,Tipo o categoría de competición del encuentro
man_spiele,kennung,varchar(32),Lectura,Identificador único de la eliminatoria o cruce de copa
man_spiele,simuliert,tinyint(1) unsigned,Lectura/Escritura,Indicador de si el partido ya ha sido simulado (0/1)
man_spiele,ergebnis,varchar(255),Lectura/Escritura,Resultado final del encuentro (ej. '2:1')
man_spiele,zuschauer,int(11) unsigned,Escritura,Cantidad total de espectadores asistentes al estadio
man_spiele,tore1,text,Escritura,Lista de IDs de jugadores locales anotadores
man_spiele,tore2,text,Escritura,Lista de IDs de jugadores visitantes anotadores
man_spiele,bericht,text,Escritura,Texto descriptivo formateado con el acta/minuto a minuto
man_spiele,ballbesitz1,tinyint(1) unsigned,Escritura,Porcentaje de posesión de balón del equipo local
man_spiele,ballbesitz2,tinyint(1) unsigned,Escritura,Porcentaje de posesión de balón del equipo visitante
man_spiele,fouls1,tinyint(1) unsigned,Escritura,Cantidad total de faltas cometidas por el equipo local
man_spiele,fouls2,tinyint(1) unsigned,Escritura,Cantidad total de faltas cometidas por el equipo visitante
man_spiele,karte_gelb1,varchar(255),Escritura,IDs de jugadores locales amonestados con tarjeta amarilla
man_spiele,karte_gelb2,varchar(255),Escritura,IDs de jugadores visitantes amonestados con tarjeta amarilla
man_spiele,karte_rot1,varchar(255),Escritura,IDs de jugadores locales expulsados con tarjeta roja
man_spiele,karte_rot2,varchar(255),Escritura,IDs de jugadores visitantes expulsados con tarjeta roja
man_spiele,abseits1,tinyint(1) unsigned,Escritura,Cantidad de fueras de juego señalados al equipo local
man_spiele,abseits2,tinyint(1) unsigned,Escritura,Cantidad de fueras de juego señalados al equipo visitante
man_spiele,schuesse1,tinyint(1) unsigned,Escritura,Cantidad total de disparos realizados por el equipo local
man_spiele,schuesse2,tinyint(1) unsigned,Escritura,Cantidad total de disparos realizados por el equipo visitante
man_spiele,simulationError,varchar(255),Escritura,Registro de errores técnicos durante la simulación
